	CF010.-355D.RA5.01.35268.mzXML	CF012.23D.RA1.01.35522.mzXML	CF034.-327D.RA9.01.35276.mzXML	CF034.51D.RH4.01.35446.mzXML	CF037.-196D.RD8.01.35352.mzXML	CF041.-222D.RC9.01.35328.mzXML	CF046.-140D.RE10.01.35382.mzXML	CF053.0D.RF12.01.35412.mzXML	CF061.-140D.RE9.01.35380.mzXML	CF061.-14D.RF9.01.35406.mzXML	CF064.-222D.RC10.01.35330.mzXML	CF066.-131D.RF2.01.35392.mzXML	CF069.-173D.RE1.01.35364.mzXML	CF075.156D.BA7.01.35481.mzXML	CF077.-131D.RF1.01.35390.mzXML	CF082.-161D.RE3.01.35368.mzXML	CF083.-313D.RB1.01.35286.mzXML	CF086.-243D.RC4.01.35318.mzXML	CF092.21D.RG12.01.35437.mzXML	CF093.65D.RH5.01.35448.mzXML	CF095.-14D.RF10.01.35408.mzXML	CF104.0D.RF11.01.35410.mzXML	CF107.-215D.RC12.01.35334.mzXML	CF130.-271D.RB11.01.35306.mzXML	CF138.23D.RH1.01.35440.mzXML	CF139.-313D.RB2.01.35288.mzXML	CF142.-180D.RD11.01.35358.mzXML	CF146.91D.RH9.01.35456.mzXML	CF148.-243D.RC3.01.35316.mzXML	CF149.-327D.RA8.01.35274.mzXML	CF151.-243D.RC2.01.35314.mzXML	CF151.14D.RG6.01.35425.mzXML	CF154.-327D.RA10.01.35278.mzXML	CF157.-159D.RE5.01.35372.mzXML	CF160.-224D.RC8.01.35326.mzXML	CF167.-203D.RD5.01.35346.mzXML	CF175.-138D.RE12.01.35386.mzXML	CF176.133D.BA4.01.35474.mzXML	CF178.-278D.RB10.01.35304.mzXML	CF188.-194D.RD9.01.35354.mzXML	CF188.23D.RH2.01.35442.mzXML	CF189.-61D.RF6.01.35400.mzXML	CF193.-285D.RB9.01.35302.mzXML	CF204.-215D.RD2.01.35340.mzXML	CF211.-168D.RE2.01.35366.mzXML	CF217.14D.RA2.01.35524.mzXML	CF222.-320D.RA11.01.35280.mzXML	CF225.-201D.RD6.01.35348.mzXML	CF229.-271D.RB12.01.35308.mzXML	CF230.-313D.RB3.01.35290.mzXML	CF230.2D.RG4.01.35421.mzXML	CF231.-285D.RB8.01.35300.mzXML	CF234.-124D.RF3.01.35394.mzXML	CF235.-285D.RB7.01.35298.mzXML	CF236.-362D.RA2.01.35262.mzXML	CF239.-336D.RA6.01.35270.mzXML	CF246.-215D.RD1.01.35338.mzXML	CF247.135D.BA6.01.35478.mzXML	CF252.-138D.RE11.01.35384.mzXML	CF252.114D.RA3.01.35526.mzXML	CF254.-0D.RG1.01.35415.mzXML	CF259.2D.RG2.01.35417.mzXML	CF259.79D.RH7.01.35452.mzXML	CF262.-187D.RD10.01.35356.mzXML	CF264.-124D.RF5.01.35398.mzXML	CF269.-152D.RE7.01.35376.mzXML	CF272.-362D.RA1.01.35260.mzXML	CF277.-159D.RE4.01.35370.mzXML	CF278.-217D.RC11.01.35332.mzXML	CF282.-208D.RD3.01.35342.mzXML	CF287.-243D.RC5.01.35320.mzXML	CF290.-173D.RD12.01.35360.mzXML	CF292.135D.BA5.01.35476.mzXML	CF298.-320D.RA12.01.35282.mzXML	CF299.-299D.RB5.01.35294.mzXML	CF301.156D.BA8.01.35483.mzXML	CF302.2D.RA4.01.35528.mzXML	CF312.-152D.RE8.01.35378.mzXML	CF318.-236D.RC6.01.35322.mzXML	CF318.-299D.RB4.01.35292.mzXML	CF318.-344D.RA7.01.35272.mzXML	CF318.-355D.RA4.01.35266.mzXML	CF318.114D.RH12.01.35462.mzXML	CF318.79D.RH8.01.35454.mzXML	CF318.93D.RH11.01.35460.mzXML	CF326.2D.RG5.01.35423.mzXML	CF328.-61D.RF7.01.35402.mzXML	CF338.-208D.RD4.01.35344.mzXML	CF339.-159D.RE6.01.35374.mzXML	CF342.-124D.RF4.01.35396.mzXML	CF343.77D.RH6.01.35450.mzXML	CF344.-196D.RD7.01.35350.mzXML	CF344.21D.RG10.01.35433.mzXML	CF35.-362D.RA3.01.35264.mzXML	CF353.128D.BA3.01.35472.mzXML	CF355.-266D.RC1.01.35312.mzXML	CF356.16D.RG8.01.35429.mzXML	CF371.-14D.RF8.01.35404.mzXML	CF374.128D.BA2.01.35470.mzXML	CF375.91D.RH10.01.35458.mzXML	CF377.21D.RG11.01.35435.mzXML	CF95.-224D.RC7.01.35324.mzXML
CF010.-355D.RA5.01.35268.mzXML	0.0	0.659801238084	0.620539653641	0.606977867128	0.373556189547	0.641946920228	0.330107742554	0.470221637407	0.548436860274	0.426848552701	0.866803071475	0.576086055174	0.3574105115	0.566985665284	0.743580536524	0.712179750623	0.487833847075	0.608232123307	0.396255318619	0.465044827233	0.48258234011	0.679216252443	0.596706570068	0.421413475744	0.560196556286	0.572499306011	0.418132794943	0.603951867279	0.645079484005	0.716901153551	0.620674833849	0.433859092681	0.573744262183	0.484457950194	0.526122200994	0.417764356339	0.328101044941	0.551996539494	0.488076924148	0.794213044053	0.542991211742	0.499469488936	0.378143386478	0.426464287417	0.439641297934	0.423730860269	0.515648298653	0.41801930066	0.416952384221	0.702343532466	0.555263526421	0.49217292764	0.431298716757	0.401506765446	0.340365017259	0.558855209595	0.602049584749	0.450751041921	0.451450419665	0.534936136474	0.718101269834	0.753988096758	0.77823465491	0.374229171082	0.394387452423	0.351614596303	0.442122958494	0.671507207242	0.460019177551	0.498455421387	0.816976256853	0.477451560146	0.558361712089	0.612830042298	0.483455402204	0.596647280872	0.545993079224	0.737345328493	0.653850134692	0.517397045022	0.539541585525	0.389696660896	0.449152625664	0.47176700405	0.462422021677	0.568936671142	0.597775016331	0.581463888459	0.43389478727	0.441127212619	0.462406954972	0.443798866965	0.533698077148	0.874635966702	0.504949401036	0.477373724847	0.319692437659	0.480434052792	0.534316169009	0.601584698022	0.602384554943	0.419248930607
CF012.23D.RA1.01.35522.mzXML	0.659801238084	0.0	0.742374721282	0.613299544845	0.72360375583	0.680323762088	0.564317395987	0.640945798697	0.403505811255	0.547510466167	0.737937023898	0.525788404544	0.690703582851	0.761707075956	0.588267418757	0.564788001886	0.715345084584	0.77940200551	0.740985309083	0.514927068771	0.742733754618	0.538877483178	0.759386309064	0.747565512853	0.490760064243	0.675625980282	0.598887393816	0.494571350785	0.72171534467	0.823940589953	0.413187970244	0.738668016864	0.825808184761	0.530180043187	0.743940361084	0.493702670811	0.732658292476	0.536843399401	0.651489063077	0.596814311768	0.569343500124	0.726909014387	0.676209159096	0.77047386221	0.757762212814	0.749931498266	0.76877601502	0.57017815715	0.79305807625	0.567939153983	0.657152326572	0.777596186766	0.786222702566	0.772021252258	0.644877016856	0.783354283985	0.784076695887	0.6905574616	0.739404767039	0.624373949968	0.647875871136	0.580854343592	0.586964654688	0.726629660068	0.764295065708	0.739564453839	0.727838841692	0.554148736754	0.752968782924	0.588653354655	0.693516201912	0.672302075912	0.599975487124	0.724959526479	0.833281611145	0.836923158053	0.671391818497	0.502568865275	0.770568328124	0.761057644568	0.718245971074	0.72285908132	0.671299251074	0.570008921875	0.635458057083	0.787875374777	0.640078572357	0.612870087274	0.720493567552	0.737666984709	0.738495481211	0.514485191366	0.500125411958	0.721096079694	0.723005286646	0.531322746109	0.718608423754	0.822419375489	0.680361472759	0.53333402353	0.358584258671	0.747804181041
CF034.-327D.RA9.01.35276.mzXML	0.620539653641	0.742374721282	0.0	0.562650438314	0.627976790951	0.553872259975	0.613294973858	0.582967989892	0.633801909402	0.606990496584	0.827034975774	0.648635121812	0.594376436462	0.587787978417	0.750368559853	0.731002024276	0.490932219968	0.546385367563	0.589754092443	0.634246163396	0.619372045513	0.625087079367	0.564667224692	0.605664227708	0.677790901367	0.622903502074	0.57764343998	0.678894916103	0.58820293546	0.618982956918	0.644881487323	0.669274190975	0.606610419163	0.557079775248	0.613404873979	0.60593798947	0.576766076652	0.597688974817	0.62347470685	0.767312971349	0.655114462242	0.55225922338	0.510847400406	0.566690066733	0.631513327432	0.646670955936	0.551074077259	0.599445624415	0.592174331198	0.633854283528	0.482290006725	0.641507679315	0.629673767101	0.652925495886	0.592926528573	0.535452926275	0.582177194589	0.598676986092	0.591959074334	0.642545769569	0.727490706737	0.788641615935	0.76813535885	0.601073615031	0.680275181532	0.623246007037	0.603804490499	0.64930006918	0.553418462488	0.664095808759	0.813636603578	0.539130507454	0.564162146012	0.560296812991	0.657790635462	0.71207915627	0.603031234521	0.756574173544	0.500276818356	0.495585369785	0.403830776581	0.521379669792	0.430356164898	0.617170348951	0.447890990104	0.707548958013	0.549205851296	0.613613113315	0.477345673169	0.595231670275	0.628012167146	0.596821301403	0.56446741401	0.84855750998	0.53753067669	0.614927767392	0.617549202418	0.693827637454	0.661672361479	0.600041019525	0.709347153364	0.625881072733
CF034.51D.RH4.01.35446.mzXML	0.606977867128	0.613299544845	0.562650438314	0.0	0.625630931872	0.632130196228	0.533067919198	0.577198667602	0.50151172501	0.561677272404	0.803027924857	0.62575799188	0.605036751944	0.648779210612	0.66614760437	0.64970193142	0.590987263403	0.662316975713	0.615587246086	0.520712749338	0.633522369187	0.576805810087	0.673526316447	0.628820732779	0.605257695374	0.569300638566	0.52363281745	0.601990403736	0.672553267088	0.77491206744	0.520574216317	0.666933550542	0.701822487426	0.508080290619	0.654035679266	0.499539029213	0.625352358497	0.5788321256	0.626826405805	0.734028653703	0.544126601929	0.598203645616	0.558233589438	0.610806217233	0.641343455027	0.644804496312	0.625682627791	0.527445544419	0.692145198795	0.623032846804	0.502622129963	0.674873132375	0.672468913876	0.653321354919	0.575509695358	0.618630958423	0.661159581816	0.593659091467	0.615909724214	0.591856763499	0.663111429463	0.74549615718	0.705946201507	0.595926122664	0.70387232698	0.633056609246	0.621652584874	0.572463775792	0.600185276674	0.617116661021	0.791103930565	0.596076678612	0.509833366342	0.636292105741	0.711985750499	0.751300678823	0.610584253201	0.66171808563	0.638286774963	0.615508795945	0.544373368854	0.57937022842	0.486867257924	0.546279093404	0.496789875205	0.657041057154	0.516393199202	0.523842363045	0.56074773047	0.623019288249	0.621795501982	0.5194803701	0.518845102575	0.825346083409	0.590962488424	0.519714964967	0.619054832462	0.720692778957	0.633336675751	0.493730913595	0.633326829595	0.636252456473
CF037.-196D.RD8.01.35352.mzXML	0.373556189547	0.72360375583	0.627976790951	0.625630931872	0.0	0.607544619554	0.378681628999	0.468986908442	0.565695136382	0.450964188736	0.867404545559	0.58141169957	0.343419501211	0.537201213174	0.789411784166	0.763644699851	0.503058580184	0.599048747127	0.34839618652	0.503242084087	0.403929308717	0.698766538216	0.585975927319	0.380127295108	0.669714541424	0.546619006816	0.417404078269	0.663236944738	0.628816000767	0.708956123725	0.694903564512	0.353205778109	0.55735913724	0.502769929544	0.468203622845	0.480864911136	0.294278591755	0.575595314635	0.458908964626	0.803945152105	0.573655618041	0.478579767612	0.390447079642	0.416574206301	0.351413631118	0.359333901136	0.485155376116	0.442420952752	0.427039464838	0.751907175576	0.547576429153	0.462963640269	0.365031750333	0.312711357998	0.417333404228	0.535074858895	0.576211571576	0.431374760521	0.386193428949	0.51318272903	0.735235884624	0.81719179103	0.806184529404	0.272142412421	0.369555723449	0.291760740675	0.414165105271	0.688961308876	0.404542170698	0.530828772006	0.817916478863	0.435266546549	0.576000449102	0.589560666632	0.411074194934	0.539678904837	0.478914904152	0.784523731316	0.627278449621	0.55431022455	0.557372129522	0.429314886442	0.466509945227	0.525079327837	0.469180733726	0.525702886687	0.602414811794	0.585247646049	0.426524564281	0.39511085255	0.377132854094	0.4774639544	0.57299743102	0.87739820376	0.477399538359	0.489813460108	0.287379816569	0.379300957141	0.479358779468	0.630301003618	0.684495001579	0.319240332882
CF041.-222D.RC9.01.35328.mzXML	0.641946920228	0.680323762088	0.553872259975	0.632130196228	0.607544619554	0.0	0.602178484565	0.507875127344	0.594271089552	0.597509695714	0.730526096773	0.572996530598	0.56880245324	0.623810203339	0.722525574345	0.682202232624	0.571832094612	0.519706905613	0.612556143209	0.674716708701	0.563054659103	0.594042002464	0.544244252655	0.609730082869	0.674836129059	0.687461159866	0.555489933115	0.655770593234	0.445270431259	0.597849007731	0.628592340326	0.615955412085	0.620108953136	0.524054337124	0.562591324685	0.634524628304	0.582933014246	0.554148041214	0.538960300048	0.703494755429	0.700244585099	0.498217817113	0.521767472104	0.575779447784	0.621736794854	0.625841237035	0.535144905623	0.604827382003	0.644053252452	0.558561832265	0.595327626302	0.622420834693	0.649551428859	0.611518531733	0.646655269946	0.541367008654	0.524754418584	0.650220593245	0.580535192527	0.548103309313	0.721145117506	0.715393225219	0.711097747179	0.594847519274	0.66189504265	0.613285690814	0.555794539825	0.626246054332	0.543869653566	0.597523706753	0.677097499923	0.458998470983	0.604136973571	0.410184053237	0.651492479944	0.721881116318	0.501374967024	0.737054849528	0.467039825703	0.565865507359	0.47068416867	0.58073231348	0.525508699017	0.637294259181	0.472267747035	0.697062998858	0.599367804756	0.632260863172	0.492576392659	0.62373818075	0.596681367451	0.567446415034	0.498534338762	0.781046560362	0.554992389725	0.672669187191	0.614582981526	0.672044427646	0.555305845343	0.619697474382	0.635832450644	0.588395345901
CF046.-140D.RE10.01.35382.mzXML	0.330107742554	0.564317395987	0.613294973858	0.533067919198	0.378681628999	0.602178484565	0.0	0.411902986477	0.381438423999	0.313659539479	0.791462890131	0.487740000135	0.393010098262	0.595132434679	0.670479348553	0.657141749929	0.540303234355	0.649081335323	0.431812078422	0.382106885436	0.507502384029	0.587591707217	0.62088925507	0.44990400442	0.519949404817	0.557904838606	0.366606535523	0.518075451732	0.647975340458	0.742308891566	0.541986042726	0.440321706896	0.619777249215	0.376012681001	0.567018519667	0.314905393459	0.402341893269	0.463861766128	0.485736755964	0.716222480766	0.462362002839	0.528100214541	0.362897873048	0.450480611613	0.488739034572	0.467893806051	0.528818865423	0.311172603259	0.529536767804	0.661632387032	0.510897524104	0.541183099286	0.51555741466	0.466215961898	0.349419819148	0.578214622407	0.62016952513	0.417518466005	0.473804219813	0.508335172617	0.657603862943	0.727076944375	0.719968204266	0.401194784928	0.476505553064	0.404066267305	0.451765771878	0.595469399716	0.492560244299	0.418261857006	0.769769567956	0.451041697987	0.492485969267	0.606048938785	0.564883410974	0.62762261767	0.529677099671	0.664507876155	0.673050482782	0.59161098807	0.560074052457	0.475656997963	0.450348440713	0.377996208509	0.437139273807	0.605595861411	0.584580541139	0.543475748808	0.444403051296	0.454910984454	0.463286703432	0.307998020039	0.428765288817	0.82488264376	0.497498596176	0.402695131163	0.377209629794	0.560939353953	0.5058654646	0.538423766964	0.528138868661	0.447014062382
CF053.0D.RF12.01.35412.mzXML	0.470221637407	0.640945798697	0.582967989892	0.577198667602	0.468986908442	0.507875127344	0.411902986477	0.0	0.48559480666	0.387225445094	0.767591179492	0.496830735556	0.425287045278	0.566619503455	0.674681554116	0.683245451446	0.454839743987	0.582563852698	0.509997157887	0.520386027431	0.484435500499	0.539615846876	0.594914070921	0.506045537028	0.563776500588	0.573507914168	0.407854485415	0.512184652415	0.600770397945	0.684354388442	0.596946683932	0.505482444993	0.619806825128	0.364339122762	0.493427941567	0.458910505486	0.445124553139	0.480580045183	0.436638879876	0.69803244473	0.559321085312	0.403813530281	0.347697583601	0.525744418206	0.545829668722	0.512405461527	0.54167317517	0.438893478408	0.535957910952	0.604133316907	0.556731325879	0.518007059219	0.568527830164	0.514407296464	0.472571072802	0.561372475232	0.585701201738	0.520183665624	0.446028367707	0.485777455711	0.648756596217	0.735267360717	0.704004145881	0.467610987184	0.49207337218	0.479194478803	0.473595983385	0.591121196432	0.457689171877	0.455462610244	0.735420056937	0.391866365748	0.534322746981	0.499975437545	0.627798660045	0.656326423118	0.486903272791	0.720376177055	0.628211415935	0.505264609217	0.511801227007	0.39890545733	0.399323407116	0.46493899505	0.36683667171	0.596318037266	0.546689077706	0.528023424884	0.413408345122	0.527113976405	0.486626648048	0.366169678615	0.408947753597	0.813332086654	0.492205287724	0.510692001951	0.410912682728	0.587568296243	0.479591857551	0.576928121786	0.571490161067	0.493789644739
CF061.-140D.RE9.01.35380.mzXML	0.548436860274	0.403505811255	0.633801909402	0.50151172501	0.565695136382	0.594271089552	0.381438423999	0.48559480666	0.0	0.345935315382	0.708642331041	0.48038976187	0.550200526789	0.670818431323	0.558244920247	0.542894819008	0.600289708792	0.701163555208	0.610818031321	0.369703441488	0.600955660805	0.484011446175	0.645742669873	0.611345375439	0.449167503083	0.530266876241	0.422403931357	0.432193978316	0.656891646355	0.76834700509	0.449273412513	0.595417899564	0.72590322397	0.361675917092	0.636031158322	0.31557957756	0.597960071928	0.42746813526	0.541926248986	0.612564348192	0.418040246575	0.587490541525	0.521729126549	0.619257968653	0.624764518178	0.619163088347	0.633347502453	0.387159560667	0.690574757013	0.535886656687	0.493881384529	0.654576081922	0.678405321228	0.640740995092	0.505886360692	0.656001908053	0.675472447442	0.538673894337	0.600235341026	0.553589276565	0.554952232515	0.601247015803	0.601324128625	0.566831803817	0.64369734427	0.594897863725	0.59991403691	0.480416851468	0.607830894868	0.429818317407	0.694213903725	0.531427791853	0.444053180476	0.631895918308	0.717576077846	0.734725131128	0.5738226605	0.538862367194	0.691335155063	0.643359685781	0.597110909945	0.578004576669	0.540938916725	0.397724382086	0.50477957579	0.685738483865	0.514756716314	0.456818479517	0.548369377968	0.597548438291	0.591801274524	0.313631167141	0.395378986362	0.73537867422	0.582886723315	0.380690958397	0.580046404536	0.70895137937	0.557798393414	0.443705530143	0.390582591821	0.609145157706
CF061.-14D.RF9.01.35406.mzXML	0.426848552701	0.547510466167	0.606990496584	0.561677272404	0.450964188736	0.597509695714	0.313659539479	0.387225445094	0.345935315382	0.0	0.769841764212	0.465538157696	0.432512883669	0.611985444615	0.657547765387	0.615601868501	0.515236600517	0.647325202763	0.514209677498	0.367265633414	0.537490425124	0.541789276806	0.624206829037	0.50326362901	0.492334282563	0.536045787368	0.356738709309	0.458575634148	0.647737325878	0.740790498022	0.5564268477	0.514926761335	0.644626674785	0.329039163326	0.548867244269	0.287185778216	0.447502231846	0.441067140377	0.446729525394	0.674425614809	0.443241001607	0.526628308623	0.386814767557	0.559569062575	0.54518017254	0.542151599178	0.566060696904	0.351512190527	0.568062495289	0.627820419756	0.525100074358	0.563511264096	0.582424160545	0.535516218666	0.406198493925	0.603970525819	0.65053171705	0.490662875915	0.482290469533	0.511819726753	0.607840991035	0.666651381681	0.694419412927	0.477041366497	0.503374310675	0.484150807239	0.529173255243	0.562746406879	0.53264774522	0.406238333724	0.73557551192	0.471625924796	0.492464397628	0.596110010726	0.648133611544	0.691289427857	0.547800006389	0.644772925791	0.674122345065	0.575057142375	0.559234063543	0.457890110672	0.425883717373	0.365399405403	0.41682365184	0.603379440014	0.547781572581	0.495728205465	0.461958819175	0.518878872761	0.514632141982	0.27318575951	0.37142676097	0.801029178939	0.536006437814	0.384457313961	0.447896232367	0.618057973932	0.513178046574	0.54144080179	0.457901150854	0.520429961363
