#SampleID	CF010.-355D.RA5.01.35268.mzXML	CF012.23D.RA1.01.35522.mzXML	CF034.-327D.RA9.01.35276.mzXML	CF034.51D.RH4.01.35446.mzXML	CF037.-196D.RD8.01.35352.mzXML	CF041.-222D.RC9.01.35328.mzXML	CF046.-140D.RE10.01.35382.mzXML	CF053.0D.RF12.01.35412.mzXML	CF061.-140D.RE9.01.35380.mzXML	CF061.-14D.RF9.01.35406.mzXML	CF064.-222D.RC10.01.35330.mzXML	CF066.-131D.RF2.01.35392.mzXML	CF069.-173D.RE1.01.35364.mzXML	CF075.156D.BA7.01.35481.mzXML	CF077.-131D.RF1.01.35390.mzXML	CF082.-161D.RE3.01.35368.mzXML	CF083.-313D.RB1.01.35286.mzXML	CF086.-243D.RC4.01.35318.mzXML	CF092.21D.RG12.01.35437.mzXML	CF093.65D.RH5.01.35448.mzXML	CF095.-14D.RF10.01.35408.mzXML	CF104.0D.RF11.01.35410.mzXML	CF107.-215D.RC12.01.35334.mzXML	CF130.-271D.RB11.01.35306.mzXML	CF138.23D.RH1.01.35440.mzXML	CF139.-313D.RB2.01.35288.mzXML	CF142.-180D.RD11.01.35358.mzXML	CF146.91D.RH9.01.35456.mzXML	CF148.-243D.RC3.01.35316.mzXML	CF149.-327D.RA8.01.35274.mzXML	CF151.-243D.RC2.01.35314.mzXML	CF151.14D.RG6.01.35425.mzXML	CF154.-327D.RA10.01.35278.mzXML	CF157.-159D.RE5.01.35372.mzXML	CF160.-224D.RC8.01.35326.mzXML	CF167.-203D.RD5.01.35346.mzXML	CF175.-138D.RE12.01.35386.mzXML	CF176.133D.BA4.01.35474.mzXML	CF178.-278D.RB10.01.35304.mzXML	CF188.-194D.RD9.01.35354.mzXML	CF188.23D.RH2.01.35442.mzXML	CF189.-61D.RF6.01.35400.mzXML	CF193.-285D.RB9.01.35302.mzXML	CF204.-215D.RD2.01.35340.mzXML	CF211.-168D.RE2.01.35366.mzXML	CF217.14D.RA2.01.35524.mzXML	CF222.-320D.RA11.01.35280.mzXML	CF225.-201D.RD6.01.35348.mzXML	CF229.-271D.RB12.01.35308.mzXML	CF230.-313D.RB3.01.35290.mzXML	CF230.2D.RG4.01.35421.mzXML	CF231.-285D.RB8.01.35300.mzXML	CF234.-124D.RF3.01.35394.mzXML	CF235.-285D.RB7.01.35298.mzXML	CF236.-362D.RA2.01.35262.mzXML	CF239.-336D.RA6.01.35270.mzXML	CF246.-215D.RD1.01.35338.mzXML	CF247.135D.BA6.01.35478.mzXML	CF252.-138D.RE11.01.35384.mzXML	CF252.114D.RA3.01.35526.mzXML	CF254.-0D.RG1.01.35415.mzXML	CF259.2D.RG2.01.35417.mzXML	CF259.79D.RH7.01.35452.mzXML	CF262.-187D.RD10.01.35356.mzXML	CF264.-124D.RF5.01.35398.mzXML	CF269.-152D.RE7.01.35376.mzXML	CF272.-362D.RA1.01.35260.mzXML	CF277.-159D.RE4.01.35370.mzXML	CF278.-217D.RC11.01.35332.mzXML	CF282.-208D.RD3.01.35342.mzXML	CF287.-243D.RC5.01.35320.mzXML	CF290.-173D.RD12.01.35360.mzXML	CF292.135D.BA5.01.35476.mzXML	CF298.-320D.RA12.01.35282.mzXML	CF299.-299D.RB5.01.35294.mzXML	CF301.156D.BA8.01.35483.mzXML	CF302.2D.RA4.01.35528.mzXML	CF312.-152D.RE8.01.35378.mzXML	CF318.-236D.RC6.01.35322.mzXML	CF318.-299D.RB4.01.35292.mzXML	CF318.-344D.RA7.01.35272.mzXML	CF318.-355D.RA4.01.35266.mzXML	CF318.114D.RH12.01.35462.mzXML	CF318.79D.RH8.01.35454.mzXML	CF318.93D.RH11.01.35460.mzXML	CF326.2D.RG5.01.35423.mzXML	CF328.-61D.RF7.01.35402.mzXML	CF338.-208D.RD4.01.35344.mzXML	CF339.-159D.RE6.01.35374.mzXML	CF342.-124D.RF4.01.35396.mzXML	CF343.77D.RH6.01.35450.mzXML	CF344.-196D.RD7.01.35350.mzXML	CF344.21D.RG10.01.35433.mzXML	CF35.-362D.RA3.01.35264.mzXML	CF353.128D.BA3.01.35472.mzXML	CF355.-266D.RC1.01.35312.mzXML	CF356.16D.RG8.01.35429.mzXML	CF371.-14D.RF8.01.35404.mzXML	CF374.128D.BA2.01.35470.mzXML	CF375.91D.RH10.01.35458.mzXML	CF377.21D.RG11.01.35435.mzXML	CF95.-224D.RC7.01.35324.mzXML
1	14199739	2719587	10530896	10085481	17742067	1384566	9462366	4317882	3568277	9607997	224265	2097840	11311879	7755686	919501	912851	9384634	9306570	14930277	15119352	6531713	6558856	4181264	6729006	2404316	17407109	15573314	4947171	2008386	1751565	5673482	5514447	11058200	8209136	5003669	12494653	17264909	2079662	3427209	973544	11448665	5727194	11954248	14569404	4654241	6893111	10934247	11961878	17234339	1535386	14426076	7663831	17110192	16596085	15287992	13432977	9516403	9901160	10229011	2425038	7002800	1171770	1885227	15842152	13581023	7371180	6977029	8186963	9329802	4440592	266039	4132401	3815992	4193860	18432660	19741	3779108	4935873	12646872	14321495	10768751	10936285	8880443	10334353	7272264	6635117	13542400	14537299	9265242	23662620	10382330	4102033	5801171	1973687	6150582	13250226	13876649	16974328	1733146	9230772	3640435	10427641
2	16504249	2113370	3953290	4490178	11103253	1184195	13142922	6403728	7329579	11018669	24905	1793293	14132148	3387332	291623	795179	4544303	1930598	15992340	12742269	7268650	2155742	6647467	14710198	3920105	6884716	11585032	3668545	824976	297364	1774739	4192384	14566599	6231945	3513426	11584729	19679929	5066376	1389965	761433	7649937	6738992	12051756	17666826	15856335	7810938	6477804	11880167	19923535	1071068	7928739	11799332	18135113	4842387	8156180	10549600	3489189	16084634	6874261	2292383	1711757	1109640	494511	9536688	19839867	19510034	10715586	1637463	5954635	8147018	192813	3801084	12129917	3298428	18820128	1716095	3283849	2005365	1915593	6556984	4763938	10527306	5621364	12651283	3980472	5470010	4212863	5739429	10144065	18584603	7560736	8955561	3231134	476781	12496704	9754777	6444941	7618175	7121392	3262979	1759390	8520618
3	7209194	1935999	9469850	9136451	17670616	1250477	6113094	3773203	6426911	4978643	151093	1148076	7522044	7880323	864360	794445	8494591	8023584	8847171	8291592	4179327	5633487	9021794	12541475	2144627	12856094	9654508	3842713	1435219	1478783	5306180	9077246	7188570	5475316	3584743	7052602	8373410	2930839	2769100	730927	9092834	4767771	9047323	7561618	16576420	12618258	6965347	8021766	8891902	1401048	12946019	4967299	11026382	9769849	9660143	10493577	7435478	18494780	5149491	1862808	6089699	1024038	1828255	7855077	8040697	14702127	4182033	7151019	5697712	2816121	27783	3594804	12721732	3682940	18445761	14785498	4653370	4441476	10611546	11792205	9722008	9106976	8349201	5932629	6925112	4455906	11138324	9921896	7540973	9734291	4973069	7488151	4198343	1322553	8341491	10538834	8521446	8909940	3387837	8306842	2111886	5827012
4	6501746	5696680	9177343	7796846	5418307	4330627	6742795	4666624	5613912	4531467	3451503	9816648	6439042	12645441	9614246	8857667	12833292	4590105	9484560	7003549	9087406	7001775	10142233	8370854	9046782	6570748	5079150	5759470	7698965	9743158	7886240	5300085	8265587	5814325	6070298	7023479	6566539	9976213	4335122	6981676	6643916	7981781	5598777	7726651	11042035	4279596	9222967	6795770	7979080	6037436	6175688	6552528	8159027	6234413	6899887	7677569	12475386	4183476	10115826	7620931	857702	5562856	7651253	5718524	5113658	7361405	8979942	5717273	10309004	5044484	4148434	6783815	10674035	7196040	8178842	4656958	4936572	5902533	4875822	9063050	7263386	5271068	8717246	5410760	6350298	7266058	5523321	4794724	6544053	6007354	6693218	5560559	4988585	2099537	9826182	7801660	4510162	5562517	8979254	6863213	5532745	6918794
5	8976765	1328732	3977115	3913085	18096262	1044545	8525360	5728299	5049562	5388507	48501	1292136	8856671	2668674	248088	429456	4195990	1624856	2390540	7212228	12401115	1906205	3972109	14681406	3489332	6059329	7647352	4809438	1540508	739242	1674650	14576416	6415609	3317827	5655826	6988684	19662035	3919960	3237814	515814	6628613	4357535	9155517	9000063	4467243	16788291	13927767	8114104	7867331	955422	7635207	6269519	3873915	18090863	12766908	8584728	2394208	5285909	12236934	1269009	1517813	965169	461143	16642249	4803390	5629546	7472972	1479843	11052730	5282309	218686	2425597	1686556	2782088	12737646	1716095	1998807	1828718	1704134	5916457	4462099	7696089	5398562	7191755	3792261	10894195	3907617	4453131	6722537	2674795	12898376	5539537	1728653	319254	3606462	8416924	18422099	21761225	1248187	2418752	993158	17385224
6	10872955	468316	338187	1046064	8221435	266547	8537239	2331482	1728588	3557475	18126	609309	5788894	611656	34586	238356	50588	56473	8660863	2403083	2595091	662121	1761943	7382231	1637653	4076852	5058966	516383	178858	104112	306764	7819211	6919677	2927099	1875304	3738377	14123390	1282137	1059198	318810	3373864	1551479	6353824	12182758	10304947	10669960	6664326	5973618	12346931	257692	1293843	4832089	8129248	10519095	6153396	3597798	2774201	10839497	5257738	572154	37218	363933	140761	12283295	7470225	13895393	5493323	832272	3384764	1917262	46411	459865	6005710	626417	11485331	14216878	785505	617160	70320	783634	72931	4158863	38801	3044643	489892	5146963	688705	2344848	2005988	10881478	5539774	2521645	1074110	111234	3191450	3276919	12733009	16432104	2554181	41547	555960	6180317
7	2533643	3299935	4974141	4243395	1987986	1879138	2664195	2286084	2691070	1929225	1794433	4968101	3028650	6755621	4828216	4298829	6849877	1916016	4177266	3592934	4326928	3621612	4836092	3589433	5163168	2297614	2122440	3032454	3412724	5672428	3593093	2437205	2887728	2911104	2921078	3113510	2620341	6756058	1978031	3418232	3935223	3606503	2297598	2961533	4619629	1545004	3620843	3067854	3054935	3140900	3124800	2228061	3549532	2252838	2828582	2739136	5054695	7654320	4743459	3954607	365522	2925644	4085922	2369741	2025062	2813084	4240945	2545481	4830489	2272960	2124655	3413982	5690499	3601568	3064863	988508	2633236	2889036	1899813	3728888	2830350	1949224	4930381	2785286	3292740	3408731	2489847	1926558	2931049	2412130	3588264	2606652	2368064	1185679	5185833	3290006	1748979	1996264	4357192	3466625	2868444	3194971
8	8580920	972485	286468	218802	6106805	271507	5997150	1215166	1522089	2391206	57369	582291	6349097	161486	36909	201292	2393866	205043	4745818	4339016	1578387	408307	3312778	2350779	1564407	2083852	2713547	1106917	264923	1147761	34878	3027641	2185126	1424253	1012385	2726922	11651063	2093281	466492	563105	2731361	1597184	3459173	4280321	3275332	6135723	2375507	4806349	8875987	126291	289142	1972157	9250439	12344856	4550993	1336120	3050957	4169542	1930763	813736	1838118	442360	29800	3442466	15600866	8899690	5814684	194239	2310981	7470743	54628	3009590	2361647	704277	14478307	9837706	370395	73451	164608	304310	250338	1735060	46873	4430028	486660	1235668	110320	932745	2503603	7493513	2181201	2125908	697700	223262	2188170	1701333	11673935	15636144	1234949	950266	1422812	3469961
9	1931264	687433	9621534	2059212	1139291	4387300	1342941	1634835	1100752	661102	38414	715203	2108391	4832291	850503	780897	6358027	7491054	5073707	1372185	2195351	2735013	9125865	2199320	602532	964587	1835366	1303900	4300359	15212058	1188056	600304	5785803	2652588	2969585	1314785	4197175	1737903	1523951	296278	415524	4143203	4926155	2754162	1982881	1777209	3621200	1877714	7649853	3900882	7219351	1183712	3938198	2290744	1929452	4411966	9303309	5312218	2366906	1470819	1129273	82287	486862	2622079	842432	1615097	3433349	1700479	5325923	714719	35863	3532561	3137618	2968206	6697776	2251716	2346632	200740	10018255	6519282	6708790	3648596	5413668	1962457	4572134	1099157	3080372	1313434	4100610	4535102	1324762	2116609	3243801	41273	5398781	909545	2512832	2356290	785092	1422447	807122	1646531
10	5836121	336455	378049	1703768	5197981	318357	5695692	2057832	1276253	1903386	18126	475544	4265494	12580	33307	161294	862022	431293	6422819	1351305	1844090	27571	939371	7383864	1868146	3281695	3433856	655006	310410	143968	290592	4893196	3793579	1607046	1458553	2248562	7132975	528872	816215	208782	3930340	1034333	5291255	6902695	2891972	5475112	4305641	4783843	6093615	278001	1481604	2935106	10623232	5818354	4170416	2588120	2152447	1997094	3677998	361855	772136	312616	174469	8237551	5141033	6797275	4232412	30335	2105581	1315507	46411	300312	704977	509385	6880977	4002	517610	554994	382901	1038077	591742	2418370	748464	5324004	534586	2900061	881581	1637867	41020	15378866	3792011	1492223	683012	86016	800860	2916456	7999812	3400674	1663986	1665345	372506	4068395
